Holder,Common Stock Equivalent Held (actual),Percent of Common Shares Outstanding,Market Value ($M),Change in Shares (actual),Change (%),Position Date,Source,Portfolio Turnover Category,Portfolio Turnover (%),Investment Orientation,Equity Assets ($M),City,State,Country,Calculated Investment Style,Calculated Market Cap Emphasis,Owner Type,Funds,Derivatives Ex. 60 Days
Vanguard Group Inc.,"1,272,378,901",8.03,"181,950.2","(4,940,153)",(0.39),9/30/22,13F,Very Low  ,3.60,Passive   ,"4,599,187.44",Malvern,PA,USA,Growth,Large Cap ,Traditional Investment Managers,55,
BlackRock Inc.,"1,020,245,185",6.44,"145,895.1","(8,443,132)",(0.82),9/30/22,13F,Very Low  ,8.30,Passive   ,"4,221,571.08",New York,NY,USA,Growth,Large Cap ,Traditional Investment Managers,203,
Berkshire Hathaway Inc.,"894,802,319",5.65,"127,956.7",0,,9/30/22,13F,Very Low  ,5.74,,"335,110.58",Omaha,NE,USA,Growth,Large Cap ,Corporations (Public),,
State Street Global Advisors Inc.,"591,543,874",3.74,"84,590.8","(6,634,650)",(1.11),9/30/22,13F,Very Low  ,5.92,Passive   ,"1,957,965.23",Boston,MA,USA,Growth,Large Cap ,Traditional Investment Managers,80,
FMR LLC,"325,736,185",2.06,"46,580.3","5,413,039",1.69,9/30/22,13F,Low       ,20.70,Active    ,"1,142,432.11",Boston,MA,USA,Growth,Large Cap ,Traditional Investment Managers,122,
Geode Capital Management LLC,"279,758,518",1.77,"40,005.5","1,502,326",0.54,9/30/22,13F,Very Low  ,3.64,Passive   ,"832,461.64",Boston,MA,USA,Growth,Large Cap ,Traditional Investment Managers,39,
T. Rowe Price Group Inc.,"240,535,015",1.52,"34,396.5","2,624,232",1.10,9/30/22,Aggregated 13F,Low       ,22.83,Active    ,"896,961.17",Baltimore,MD,USA,Growth,Large Cap ,Traditional Investment Managers,83,
Northern Trust Global Investments,"176,084,862",1.11,"25,180.1","(3,744,060)",(2.08),9/30/22,13F,Very Low  ,7.41,Active    ,"495,532.45",London,,United Kingdom,Growth,Large Cap ,Traditional Investment Managers,28,
Norges Bank Investment Management,"138,681,648",0.88,"19,831.5",0,,12/31/21,Aggregated Mutual Funds,Very Low  ,7.70,Active    ,"770,771.27",Oslo,,Norway,Growth,Large Cap ,Government Pension Sponsors,1,
BNY Asset Management,"135,426,287",0.86,"19,366.0","(2,392,878)",(1.74),9/30/22,13F,Very Low  ,12.50,Active    ,"455,556.75",Boston,MA,USA,Growth,Large Cap ,Traditional Investment Managers,64,
Legal & General Investment Management Ltd.,"118,384,960",0.75,"16,929.0","(5,149,433)",(4.17),9/30/22,13F,Very Low  ,5.45,Passive   ,"350,621.99",London,,United Kingdom,Growth,Large Cap ,Traditional Investment Managers,13,
Morgan Stanley,"118,295,134",0.75,"16,916.2","(1,974,985)",(1.64),9/30/22,13F,Low       ,25.53,Active    ,"348,557.95",New York,NY,USA,Growth,Large Cap ,Banks/Investment Banks,,
UBS Asset Management AG,"106,040,402",0.67,"15,163.8","(14,092,697)",(11.73),9/30/22,Multiple,Very Low  ,19.28,Active    ,"499,722.34",Zurich,,Switzerland,Growth,Large Cap ,Traditional Investment Managers,82,
Capital Research & Mgmt Co.,"94,086,348",0.59,"13,454.3","2,399,301",2.62,9/30/22,Aggregated 13F,Very Low  ,19.14,Active    ,"1,574,076.63",Los Angeles,CA,USA,Growth,Large Cap ,Traditional Investment Managers,42,
